symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ERNBNB,0.00109000,4.658,0.02447039,0.02351000,0.02449000,8.60000000,0.02452000,70.50000000,0.02468000,70.40000000,0.02340000,0.02563000,0.02283000,20925.90000000,512.06497100,1637100115335,1637186515335,199510,200254,745
ERNBUSD,0.37500000,2.713,13.95781320,13.82300000,14.19800000,1.40000000,14.17700000,0.90000000,14.22800000,6.30000000,13.82300000,14.69300000,13.13000000,67539.20000000,942699.53740000,1637100123461,1637186523461,1721791,1727126,5336
ERNUSDT,0.39400000,2.850,14.00735468,13.82400000,14.21900000,49.90000000,14.18700000,56.30000000,14.21500000,7.00000000,13.82500000,14.68500000,13.10000000,304149.90000000,4260335.52550000,1637100125045,1637186525045,5180783,5194198,13416
KLAYBTC,0.00000061,2.471,0.00002521,0.00002474,0.00002530,16.80000000,0.00002523,4176.10000000,0.00002533,7.00000000,0.00002469,0.00002592,0.00002463,541123.40000000,13.64396163,1637100122772,1637186522772,579651,582252,2602
KLAYBNB,0.00010400,4.117,0.00261079,0.00253600,0.00263000,149.00000000,0.00261800,2997.00000000,0.00264100,892.00000000,0.00252600,0.00284600,0.00252400,170030.00000000,443.91226900,1637100111248,1637186511248,226341,227330,990
KLAYBUSD,0.02500000,1.672,1.50668978,1.49500000,1.52000000,783.30000000,1.51700000,8.80000000,1.52100000,862.30000000,1.49500000,1.56000000,1.45200000,834564.80000000,1257430.25090000,1637100111788,1637186511788,1173459,1182535,9077
KLAYUSDT,0.02400000,1.608,1.50368674,1.49300000,1.51700000,179.80000000,1.51700000,1382.20000000,1.51900000,989.40000000,1.49300000,1.56000000,1.44700000,7568370.70000000,11380458.70120000,1637100118594,1637186518594,4011421,4054119,42699
RUNEEUR,-0.15200000,-1.554,9.51045100,9.75800000,9.63000000,5.10000000,9.61000000,137.80000000,9.64500000,321.30000000,9.78200000,9.94400000,9.06700000,70713.10000000,672513.47260000,1637100114459,1637186514459,285948,287340,1393
MATICAUD,0.09300000,4.292,2.16864448,2.16400000,2.26000000,50.70000000,2.25500000,1223.70000000,2.26300000,5193.90000000,2.16700000,2.31100000,2.06000000,359325.20000000,779248.61050000,1637100122876,1637186522876,220813,222166,1354
DOTRUB,-6.00000000,-0.196,2981.68552068,3051.00000000,3054.00000000,0.08000000,3058.00000000,18.15000000,3064.00000000,14.43000000,3060.00000000,3108.00000000,2856.00000000,6034.26000000,17992265.67000000,1637100122816,1637186522816,96921,97551,631
UTKBUSD,-0.01150000,-2.599,0.43606601,0.44230000,0.43100000,128.00000000,0.43020000,32.00000000,0.43130000,36.00000000,0.44250000,0.45120000,0.41260000,1227422.00000000,535237.00800000,1637100085359,1637186485359,1286211,1290164,3954
IOTXBUSD,-0.02431000,-11.040,0.20804930,0.22020000,0.19589000,6213.00000000,0.19561000,10227.00000000,0.19579000,1577.00000000,0.22020000,0.23001000,0.19233000,120744195.00000000,25120745.40652000,1637100125732,1637186525732,6997387,7070941,73555
PHAUSDT,0.01480000,2.202,0.68787470,0.67270000,0.68680000,1849.00000000,0.68540000,358.00000000,0.68680000,68.00000000,0.67200000,0.74650000,0.65000000,4827397.00000000,3320644.24470000,1637100124720,1637186524720,2897110,2909693,12584
SOLRUB,-604.00000000,-3.665,15826.55071022,16463.00000000,15875.00000000,0.69000000,15848.00000000,7.11000000,15883.00000000,0.25000000,16479.00000000,16574.00000000,15386.00000000,1959.96000000,31019406.33000000,1637100123831,1637186523831,129829,133239,3411
RUNEAUD,0.00000000,0.000,0.00000000,17.40400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
BUSDUAH,0.03000000,0.111,26.93506237,26.94000000,26.99000000,58.00000000,26.99000000,1940.00000000,27.00000000,40988.00000000,26.96000000,27.06000000,26.80000000,249942.00000000,6732203.36000000,1637100067138,1637186467138,266423,268254,1832
BONDBTC,0.00000000,0.000,0.00049240,0.00049640,0.00049380,4.00000000,0.00049330,56.97000000,0.00049540,50.57000000,0.00049380,0.00050470,0.00048180,9105.88000000,4.48370365,1637100122269,1637186522269,482150,483123,974
BONDBNB,0.00045000,0.874,0.05123565,0.05150000,0.05191000,0.28000000,0.05120000,37.50000000,0.05177000,124.12000000,0.05146000,0.05241000,0.05018000,6822.32000000,349.54600560,1637100124136,1637186524136,81215,81585,371
BONDBUSD,-0.23000000,-0.768,29.34691761,29.83000000,29.71000000,6.10000000,29.63000000,16.41000000,29.71000000,0.47000000,29.94000000,30.22000000,28.48000000,7867.33000000,230881.88530000,1637100071922,1637186471922,997464,998825,1362
BONDUSDT,-0.12000000,-0.402,29.27281734,29.79000000,29.71000000,0.75000000,29.68000000,0.75000000,29.72000000,4.12000000,29.83000000,30.25000000,28.41000000,49250.31000000,1441695.32870000,1637100087359,1637186487359,2626767,2631805,5039
MLNBTC,-0.00005200,-2.680,0.00192897,0.00193900,0.00188800,4.73000000,0.00188800,6.37700000,0.00189800,8.69100000,0.00194000,0.00205100,0.00188800,4185.39700000,8.07350995,1637100090594,1637186490594,558958,560338,1381
MLNBNB,-0.00440000,-2.173,0.19962373,0.19880000,0.19810000,0.08000000,0.19640000,9.29000000,0.19710000,22.28500000,0.20250000,0.20410000,0.19740000,708.97300000,141.52783300,1637100124538,1637186524538,100508,100686,179
MLNBUSD,-3.90000000,-3.319,115.29052823,117.20000000,113.60000000,2.20900000,113.60000000,0.12300000,113.80000000,0.15700000,117.50000000,119.00000000,112.10000000,1480.62100000,170701.57720000,1637100068451,1637186468451,2102126,2103256,1131
MLNUSDT,-3.70000000,-3.152,115.03870995,117.30000000,113.70000000,0.10500000,113.50000000,0.88000000,113.70000000,1.80800000,117.40000000,119.40000000,111.50000000,9250.79900000,1064199.98300000,1637100123188,1637186523188,3510483,3514625,4143
GRTTRY,0.20300000,2.068,9.92449378,9.79500000,10.02000000,130.00000000,9.98600000,1605.00000000,10.01800000,1605.00000000,9.81700000,10.36300000,9.30000000,3583499.00000000,35564413.55200000,1637100123710,1637186523710,1066121,1075962,9842
CAKEBRL,-3.62000000,-3.799,91.98312507,95.28000000,91.66000000,1.30000000,91.66000000,7.00000000,92.03000000,7.00000000,95.28000000,95.64000000,89.01000000,22519.39000000,2071403.86690000,1637100124639,1637186524639,197350,199823,2474
ICPRUB,0.00000000,0.000,0.00000000,4589.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
DOTAUD,0.90000000,1.579,56.04633725,57.03000000,57.89000000,34.46000000,57.82000000,79.86000000,57.90000000,300.74000000,56.99000000,58.76000000,53.50000000,47357.53000000,2654216.09770000,1637100124697,1637186524697,210356,214784,4429
AAVEBRL,0.00000000,0.000,0.00000000,1792.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
EOSAUD,0.00000000,0.000,0.00000000,6.55500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
DEXEUSDT,-0.08000000,-0.648,12.34576368,12.32000000,12.26000000,230.16000000,12.26000000,63.25000000,12.28000000,24.11000000,12.34000000,12.59000000,12.07000000,83133.44000000,1026345.80410000,1637100077506,1637186477506,5724799,5731300,6502
